KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKart0000_kode,KOKart0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,AGD51,"Kjøp av tjenester som erstatter kommunal tjenesteproduksjon, totalt",KOSbelop0000,Beløp (1000 kr),2022,2022,155542.0
1130,Strand,AGD51,"Kjøp av tjenester som erstatter kommunal tjenesteproduksjon, totalt",KOSbelop0000,Beløp (1000 kr),2023,2023,176502.0
1130,Strand,AGD51,"Kjøp av tjenester som erstatter kommunal tjenesteproduksjon, totalt",KOSbelop0000,Beløp (1000 kr),2024,2024,199243.0
1130,Strand,AGD80,Overføringer og tilskudd til andre,KOSbelop0000,Beløp (1000 kr),2020,2020,57390.0
1130,Strand,AGD80,Overføringer og tilskudd til andre,KOSbelop0000,Beløp (1000 kr),2021,2021,59612.0
1130,Strand,AGD80,Overføringer og tilskudd til andre,KOSbelop0000,Beløp (1000 kr),2022,2022,68627.0
1130,Strand,AGD80,Overføringer og tilskudd til andre,KOSbelop0000,Beløp (1000 kr),2023,2023,77163.0
1130,Strand,AGD80,Overføringer og tilskudd til andre,KOSbelop0000,Beløp (1000 kr),2024,2024,76504.0
1130,Strand,A590,Avskrivninger,KOSbelop0000,Beløp (1000 kr),2020,2020,56335.0
1130,Strand,A590,Avskrivninger,KOSbelop0000,Beløp (1000 kr),2021,2021,63615.0
1130,Strand,A590,Avskrivninger,KOSbelop0000,Beløp (1000 kr),2022,2022,66010.0
1130,Strand,A590,Avskrivninger,KOSbelop0000,Beløp (1000 kr),2023,2023,78788.0
1130,Strand,A590,Avskrivninger,KOSbelop0000,Beløp (1000 kr),2024,2024,84461.0
1130,Strand,AGD46,Sum driftsutgifter (B),KOSbelop0000,Beløp (1000 kr),2020,2020,1070910.0
1130,Strand,AGD46,Sum driftsutgifter (B),KOSbelop0000,Beløp (1000 kr),2021,2021,1162426.0
1130,Strand,AGD46,Sum driftsutgifter (B),KOSbelop0000,Beløp (1000 kr),2022,2022,1264285.0
1130,Strand,AGD46,Sum driftsutgifter (B),KOSbelop0000,Beløp (1000 kr),2023,2023,1359790.0
1130,Strand,AGD46,Sum driftsutgifter (B),KOSbelop0000,Beløp (1000 kr),2024,2024,1464053.0
1130,Strand,AG18,Differansen i konserninterne kjøp/salg /overføringer (C ),KOSbelop0000,Beløp (1000 kr),2020,2020,3734.0
1130,Strand,AG18,Differansen i konserninterne kjøp/salg /overføringer (C ),KOSbelop0000,Beløp (1000 kr),2021,2021,956.0
1130,Strand,AG18,Differansen i konserninterne kjøp/salg /overføringer (C ),KOSbelop0000,Beløp (1000 kr),2022,2022,4162.0
1130,Strand,AG18,Differansen i konserninterne kjøp/salg /overføringer (C ),KOSbelop0000,Beløp (1000 kr),2023,2023,-4828.0
1130,Strand,AG18,Differansen i konserninterne kjøp/salg /overføringer (C ),KOSbelop0000,Beløp (1000 kr),2024,2024,-9111.0
1130,Strand,AGD65,Brutto driftsresultat (D=A-B-C),KOSbelop0000,Beløp (1000 kr),2020,2020,7763.0
1130,Strand,AGD65,Brutto driftsresultat (D=A-B-C),KOSbelop0000,Beløp (1000 kr),2021,2021,12796.0
1130,Strand,AGD65,Brutto driftsresultat (D=A-B-C),KOSbelop0000,Beløp (1000 kr),2022,2022,5335.0
1130,Strand,AGD65,Brutto driftsresultat (D=A-B-C),KOSbelop0000,Beløp (1000 kr),2023,2023,-25243.0
1130,Strand,AGD65,Brutto driftsresultat (D=A-B-C),KOSbelop0000,Beløp (1000 kr),2024,2024,-39288.0
1130,Strand,AGD79,Renteinntekter,KOSbelop0000,Beløp (1000 kr),2020,2020,13034.0
1130,Strand,AGD79,Renteinntekter,KOSbelop0000,Beløp (1000 kr),2021,2021,8434.0
1130,Strand,AGD79,Renteinntekter,KOSbelop0000,Beløp (1000 kr),2022,2022,21611.0
1130,Strand,AGD79,Renteinntekter,KOSbelop0000,Beløp (1000 kr),2023,2023,45034.0
1130,Strand,AGD79,Renteinntekter,KOSbelop0000,Beløp (1000 kr),2024,2024,52822.0
1130,Strand,AGD81,Utbytter,KOSbelop0000,Beløp (1000 kr),2020,2020,15197.0
1130,Strand,AGD81,Utbytter,KOSbelop0000,Beløp (1000 kr),2021,2021,15956.0
1130,Strand,AGD81,Utbytter,KOSbelop0000,Beløp (1000 kr),2022,2022,16462.0
1130,Strand,AGD81,Utbytter,KOSbelop0000,Beløp (1000 kr),2023,2023,27852.0
1130,Strand,AGD81,Utbytter,KOSbelop0000,Beløp (1000 kr),2024,2024,18863.0
1130,Strand,AGD83,Gevinster og tap på finansielle omløpsmidler,KOSbelop0000,Beløp (1000 kr),2020,2020,3.0
1130,Strand,AGD83,Gevinster og tap på finansielle omløpsmidler,KOSbelop0000,Beløp (1000 kr),2021,2021,-8.0
1130,Strand,AGD83,Gevinster og tap på finansielle omløpsmidler,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,AGD83,Gevinster og tap på finansielle omløpsmidler,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,AGD83,Gevinster og tap på finansielle omløpsmidler,KOSbelop0000,Beløp (1000 kr),2024,2024,-1.0
1130,Strand,AGD82,Renteutgifter,KOSbelop0000,Beløp (1000 kr),2020,2020,28301.0
1130,Strand,AGD82,Renteutgifter,KOSbelop0000,Beløp (1000 kr),2021,2021,24232.0
1130,Strand,AGD82,Renteutgifter,KOSbelop0000,Beløp (1000 kr),2022,2022,49028.0
1130,Strand,AGD82,Renteutgifter,KOSbelop0000,Beløp (1000 kr),2023,2023,89970.0
1130,Strand,AGD82,Renteutgifter,KOSbelop0000,Beløp (1000 kr),2024,2024,110667.0
1130,Strand,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2020,2020,39451.0
1130,Strand,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2021,2021,48911.0
1130,Strand,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2022,2022,51640.0
1130,Strand,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2023,2023,55783.0
1130,Strand,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2024,2024,68514.0
1130,Strand,AGD85,Netto finansutgifter (E),KOSbelop0000,Beløp (1000 kr),2020,2020,39518.0
1130,Strand,AGD85,Netto finansutgifter (E),KOSbelop0000,Beløp (1000 kr),2021,2021,48761.0
1130,Strand,AGD85,Netto finansutgifter (E),KOSbelop0000,Beløp (1000 kr),2022,2022,62595.0
1130,Strand,AGD85,Netto finansutgifter (E),KOSbelop0000,Beløp (1000 kr),2023,2023,72867.0
1130,Strand,AGD85,Netto finansutgifter (E),KOSbelop0000,Beløp (1000 kr),2024,2024,107497.0
1130,Strand,AGD87,Motpost avskrivninger (f),KOSbelop0000,Beløp (1000 kr),2020,2020,56337.0
1130,Strand,AGD87,Motpost avskrivninger (f),KOSbelop0000,Beløp (1000 kr),2021,2021,63616.0
1130,Strand,AGD87,Motpost avskrivninger (f),KOSbelop0000,Beløp (1000 kr),2022,2022,66009.0
1130,Strand,AGD87,Motpost avskrivninger (f),KOSbelop0000,Beløp (1000 kr),2023,2023,78788.0
1130,Strand,AGD87,Motpost avskrivninger (f),KOSbelop0000,Beløp (1000 kr),2024,2024,84461.0
1130,Strand,AGD84,Differansen i konserninterne renter og avdrag (G),KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,AGD84,Differansen i konserninterne renter og avdrag (G),KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,AGD84,Differansen i konserninterne renter og avdrag (G),KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,AGD84,Differansen i konserninterne renter og avdrag (G),KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,AGD84,Differansen i konserninterne renter og avdrag (G),KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
1130,Strand,AGD89,Netto driftsresultat (H=D-E+f-G),KOSbelop0000,Beløp (1000 kr),2020,2020,24582.0
1130,Strand,AGD89,Netto driftsresultat (H=D-E+f-G),KOSbelop0000,Beløp (1000 kr),2021,2021,27651.0
1130,Strand,AGD89,Netto driftsresultat (H=D-E+f-G),KOSbelop0000,Beløp (1000 kr),2022,2022,8749.0
1130,Strand,AGD89,Netto driftsresultat (H=D-E+f-G),KOSbelop0000,Beløp (1000 kr),2023,2023,-19322.0
1130,Strand,AGD89,Netto driftsresultat (H=D-E+f-G),KOSbelop0000,Beløp (1000 kr),2024,2024,-62324.0
1130,Strand,570,Overføring til investering (K),KOSbelop0000,Beløp (1000 kr),2020,2020,4509.0
1130,Strand,570,Overføring til investering (K),KOSbelop0000,Beløp (1000 kr),2021,2021,5583.0
1130,Strand,570,Overføring til investering (K),KOSbelop0000,Beløp (1000 kr),2022,2022,15296.0
1130,Strand,570,Overføring til investering (K),KOSbelop0000,Beløp (1000 kr),2023,2023,29456.0
1130,Strand,570,Overføring til investering (K),KOSbelop0000,Beløp (1000 kr),2024,2024,25.0
1130,Strand,550,Avsetninger til bundne fond,KOSbelop0000,Beløp (1000 kr),2020,2020,21428.0
1130,Strand,550,Avsetninger til bundne fond,KOSbelop0000,Beløp (1000 kr),2021,2021,15622.0
1130,Strand,550,Avsetninger til bundne fond,KOSbelop0000,Beløp (1000 kr),2022,2022,13937.0
1130,Strand,550,Avsetninger til bundne fond,KOSbelop0000,Beløp (1000 kr),2023,2023,9720.0
1130,Strand,550,Avsetninger til bundne fond,KOSbelop0000,Beløp (1000 kr),2024,2024,14785.0
1130,Strand,950,Bruk av bundne fond,KOSbelop0000,Beløp (1000 kr),2020,2020,4555.0
1130,Strand,950,Bruk av bundne fond,KOSbelop0000,Beløp (1000 kr),2021,2021,11302.0
1130,Strand,950,Bruk av bundne fond,KOSbelop0000,Beløp (1000 kr),2022,2022,13759.0
1130,Strand,950,Bruk av bundne fond,KOSbelop0000,Beløp (1000 kr),2023,2023,19971.0
1130,Strand,950,Bruk av bundne fond,KOSbelop0000,Beløp (1000 kr),2024,2024,10197.0
1130,Strand,540,Avsetninger til ubundne fond,KOSbelop0000,Beløp (1000 kr),2020,2020,42817.0
1130,Strand,540,Avsetninger til ubundne fond,KOSbelop0000,Beløp (1000 kr),2021,2021,23190.0
1130,Strand,540,Avsetninger til ubundne fond,KOSbelop0000,Beløp (1000 kr),2022,2022,7445.0
1130,Strand,540,Avsetninger til ubundne fond,KOSbelop0000,Beløp (1000 kr),2023,2023,1438.0
1130,Strand,540,Avsetninger til ubundne fond,KOSbelop0000,Beløp (1000 kr),2024,2024,664.0
1130,Strand,940,Bruk av ubundne fond,KOSbelop0000,Beløp (1000 kr),2020,2020,31901.0
1130,Strand,940,Bruk av ubundne fond,KOSbelop0000,Beløp (1000 kr),2021,2021,7643.0
