KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKregnskapsomfa0000_kode,KOKregnskapsomfa0000,KOKart0000_kode,KOKart0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,B,(Fylkes-)Kommunekasse,922,Mottatte avdrag på videreutlån,KOSbelop0000,Beløp (1000 kr),2021,2021,15109.0
1130,Strand,B,(Fylkes-)Kommunekasse,922,Mottatte avdrag på videreutlån,KOSbelop0000,Beløp (1000 kr),2022,2022,13506.0
1130,Strand,B,(Fylkes-)Kommunekasse,922,Mottatte avdrag på videreutlån,KOSbelop0000,Beløp (1000 kr),2023,2023,9626.0
1130,Strand,B,(Fylkes-)Kommunekasse,922,Mottatte avdrag på videreutlån,KOSbelop0000,Beløp (1000 kr),2024,2024,17706.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI54,Netto utgifter videreutlån (C ),KOSbelop0000,Beløp (1000 kr),2020,2020,175.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI54,Netto utgifter videreutlån (C ),KOSbelop0000,Beløp (1000 kr),2021,2021,1187.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI54,Netto utgifter videreutlån (C ),KOSbelop0000,Beløp (1000 kr),2022,2022,60.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI54,Netto utgifter videreutlån (C ),KOSbelop0000,Beløp (1000 kr),2023,2023,-573.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI54,Netto utgifter videreutlån (C ),KOSbelop0000,Beløp (1000 kr),2024,2024,-91.0
1130,Strand,B,(Fylkes-)Kommunekasse,970,Overføring fra drift,KOSbelop0000,Beløp (1000 kr),2020,2020,4509.0
1130,Strand,B,(Fylkes-)Kommunekasse,970,Overføring fra drift,KOSbelop0000,Beløp (1000 kr),2021,2021,5583.0
1130,Strand,B,(Fylkes-)Kommunekasse,970,Overføring fra drift,KOSbelop0000,Beløp (1000 kr),2022,2022,15297.0
1130,Strand,B,(Fylkes-)Kommunekasse,970,Overføring fra drift,KOSbelop0000,Beløp (1000 kr),2023,2023,29456.0
1130,Strand,B,(Fylkes-)Kommunekasse,970,Overføring fra drift,KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,550,Avsetninger til bundne fond,KOSbelop0000,Beløp (1000 kr),2020,2020,3566.0
1130,Strand,B,(Fylkes-)Kommunekasse,550,Avsetninger til bundne fond,KOSbelop0000,Beløp (1000 kr),2021,2021,279.0
1130,Strand,B,(Fylkes-)Kommunekasse,550,Avsetninger til bundne fond,KOSbelop0000,Beløp (1000 kr),2022,2022,219.0
1130,Strand,B,(Fylkes-)Kommunekasse,550,Avsetninger til bundne fond,KOSbelop0000,Beløp (1000 kr),2023,2023,573.0
1130,Strand,B,(Fylkes-)Kommunekasse,550,Avsetninger til bundne fond,KOSbelop0000,Beløp (1000 kr),2024,2024,361.0
1130,Strand,B,(Fylkes-)Kommunekasse,950,Bruk av bundne fond,KOSbelop0000,Beløp (1000 kr),2020,2020,174.0
1130,Strand,B,(Fylkes-)Kommunekasse,950,Bruk av bundne fond,KOSbelop0000,Beløp (1000 kr),2021,2021,5033.0
1130,Strand,B,(Fylkes-)Kommunekasse,950,Bruk av bundne fond,KOSbelop0000,Beløp (1000 kr),2022,2022,279.0
1130,Strand,B,(Fylkes-)Kommunekasse,950,Bruk av bundne fond,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,950,Bruk av bundne fond,KOSbelop0000,Beløp (1000 kr),2024,2024,269.0
1130,Strand,B,(Fylkes-)Kommunekasse,540,Avsetninger til ubundne fond,KOSbelop0000,Beløp (1000 kr),2020,2020,2532.0
1130,Strand,B,(Fylkes-)Kommunekasse,540,Avsetninger til ubundne fond,KOSbelop0000,Beløp (1000 kr),2021,2021,2532.0
1130,Strand,B,(Fylkes-)Kommunekasse,540,Avsetninger til ubundne fond,KOSbelop0000,Beløp (1000 kr),2022,2022,2532.0
1130,Strand,B,(Fylkes-)Kommunekasse,540,Avsetninger til ubundne fond,KOSbelop0000,Beløp (1000 kr),2023,2023,31528.0
1130,Strand,B,(Fylkes-)Kommunekasse,540,Avsetninger til ubundne fond,KOSbelop0000,Beløp (1000 kr),2024,2024,2532.0
1130,Strand,B,(Fylkes-)Kommunekasse,940,Bruk av ubundne fond,KOSbelop0000,Beløp (1000 kr),2020,2020,2532.0
1130,Strand,B,(Fylkes-)Kommunekasse,940,Bruk av ubundne fond,KOSbelop0000,Beløp (1000 kr),2021,2021,2532.0
1130,Strand,B,(Fylkes-)Kommunekasse,940,Bruk av ubundne fond,KOSbelop0000,Beløp (1000 kr),2022,2022,2532.0
1130,Strand,B,(Fylkes-)Kommunekasse,940,Bruk av ubundne fond,KOSbelop0000,Beløp (1000 kr),2023,2023,2532.0
1130,Strand,B,(Fylkes-)Kommunekasse,940,Bruk av ubundne fond,KOSbelop0000,Beløp (1000 kr),2024,2024,2532.0
1130,Strand,B,(Fylkes-)Kommunekasse,AI530,Dekning av tidligere års udekket beløp,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AI530,Dekning av tidligere års udekket beløp,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AI530,Dekning av tidligere års udekket beløp,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AI530,Dekning av tidligere års udekket beløp,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AI530,Dekning av tidligere års udekket beløp,KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AI930,Bruk av tidligere års udisponert beløp,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AI930,Bruk av tidligere års udisponert beløp,KOSbelop0000,Beløp (1000 kr),2021,2021,
1130,Strand,B,(Fylkes-)Kommunekasse,AI930,Bruk av tidligere års udisponert beløp,KOSbelop0000,Beløp (1000 kr),2022,2022,
1130,Strand,B,(Fylkes-)Kommunekasse,AI930,Bruk av tidligere års udisponert beløp,KOSbelop0000,Beløp (1000 kr),2023,2023,
1130,Strand,B,(Fylkes-)Kommunekasse,AI930,Bruk av tidligere års udisponert beløp,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,B,(Fylkes-)Kommunekasse,AGI55,Sum overføringer fra drift og netto avsetninger (D),KOSbelop0000,Beløp (1000 kr),2020,2020,-1117.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI55,Sum overføringer fra drift og netto avsetninger (D),KOSbelop0000,Beløp (1000 kr),2021,2021,-10337.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI55,Sum overføringer fra drift og netto avsetninger (D),KOSbelop0000,Beløp (1000 kr),2022,2022,-15357.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI55,Sum overføringer fra drift og netto avsetninger (D),KOSbelop0000,Beløp (1000 kr),2023,2023,113.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI55,Sum overføringer fra drift og netto avsetninger (D),KOSbelop0000,Beløp (1000 kr),2024,2024,92.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI56,Fremført til inndekning i senere år (udekket beløp) (E=B-A-C-D),KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI56,Fremført til inndekning i senere år (udekket beløp) (E=B-A-C-D),KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI56,Fremført til inndekning i senere år (udekket beløp) (E=B-A-C-D),KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI56,Fremført til inndekning i senere år (udekket beløp) (E=B-A-C-D),KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI56,Fremført til inndekning i senere år (udekket beløp) (E=B-A-C-D),KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
