år,region_kode,region,regnskapsomfang_kode,regnskapsomfang,statistikkvariabel_kode,statistikkvariabel,regnskapsbegrep_kode,regnskapsbegrep,verdi
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD74,Avsetning til bundne fond (netto),0.0
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD18,Brutto driftsresultat,2.2
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGI1,Brutto investeringsutgifter totalt,1.8
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),56,Disposisjonsfond (K),-0.3
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG21,Fri egenkapital drift,-1.9
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG115,Langsiktig gjeld,-3.8
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),5900,Merforbruk i driftsregnskapet (K),
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD23,Netto driftsresultat,
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD86,Netto finansutgifter (D),
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG117,Netto lånegjeld,
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGID1,Overskudd før lån og avsetninger,6.0
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),40,Pensjonsforpliktelse,94.2
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD97,Renter (netto),103.5
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD24,Renter (netto) inkl. utbytte og eieruttak,106.7
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD25,Tap/gevinst (netto) på finansielle omløpsmidler,101.5
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AD905,Utbytte og eieruttak,98.1
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD73,Utlån (netto) i driftsregnskapet,-16.6
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD29,Årets merforbruk i driftsregnskapet,-15.4
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGI7,Årets udekket i investeringsregnskapet,-11.2
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG114,Arbeidskapital ex. premieavvik,-5.2
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD21,Avdrag (netto) i driftsregnskapet,-6.8
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD74,Avsetning til bundne fond (netto),94.7
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD18,Brutto driftsresultat,84.6
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGI1,Brutto investeringsutgifter totalt,85.7
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),56,Disposisjonsfond (K),85.2
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG21,Fri egenkapital drift,85.8
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG115,Langsiktig gjeld,
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),5900,Merforbruk i driftsregnskapet (K),
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD23,Netto driftsresultat,
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD86,Netto finansutgifter (D),
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG117,Netto lånegjeld,3.5
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGID1,Overskudd før lån og avsetninger,-0.2
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),40,Pensjonsforpliktelse,-0.1
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD97,Renter (netto),0.6
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD24,Renter (netto) inkl. utbytte og eieruttak,0.8
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD25,Tap/gevinst (netto) på finansielle omløpsmidler,
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AD905,Utbytte og eieruttak,0.0
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD73,Utlån (netto) i driftsregnskapet,0.0
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD29,Årets merforbruk i driftsregnskapet,0.0
2023,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGI7,Årets udekket i investeringsregnskapet,0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG114,Arbeidskapital ex. premieavvik,0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD21,Avdrag (netto) i driftsregnskapet,
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD74,Avsetning til bundne fond (netto),
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD18,Brutto driftsresultat,
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGI1,Brutto investeringsutgifter totalt,
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),56,Disposisjonsfond (K),1.3
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG21,Fri egenkapital drift,-0.1
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG115,Langsiktig gjeld,0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),5900,Merforbruk i driftsregnskapet (K),-0.1
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD23,Netto driftsresultat,0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD86,Netto finansutgifter (D),0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG117,Netto lånegjeld,0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGID1,Overskudd før lån og avsetninger,0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),40,Pensjonsforpliktelse,0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD97,Renter (netto),0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD24,Renter (netto) inkl. utbytte og eieruttak,0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD25,Tap/gevinst (netto) på finansielle omløpsmidler,0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AD905,Utbytte og eieruttak,0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD73,Utlån (netto) i driftsregnskapet,0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD29,Årets merforbruk i driftsregnskapet,0.0
2024,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGI7,Årets udekket i investeringsregnskapet,0.0
